direction,control,task,layer,head,num_examples,mean_observed,mean_control,mean_difference,ci_low,ci_high,bootstrap_p_two_sided,iterations,seed,holm_p
original_to_clone,opposite-number,simple,8,3,392,0.06869955452121033,0.04755219634698362,0.02114735817422672,0.016479636546300382,0.02609587910832191,0.0,10000,208073,
original_to_clone,opposite-number,pp_attractor,8,3,296,0.34620967426815547,0.252937329782022,0.09327234448613347,0.08069652480048102,0.10583510958665125,0.0,10000,208074,0.0
original_to_clone,opposite-number,object_relative,8,3,304,0.22272692542327077,0.23043966607043617,-0.007712740647165399,-0.01819007204551446,0.002877517436680034,0.1512,10000,208075,0.1512
original_to_clone,opposite-number,subject_relative,8,3,288,0.2756245964103275,0.24643001125918496,0.029194585151142545,0.016662292141053414,0.04171517466505367,0.0,10000,208076,0.0
original_to_original,opposite-number,pooled_distractor,8,3,888,0.6685558278281409,-2.453993032644461e-07,0.6685560732274443,0.6424065578628231,0.6941722443914627,0.0,10000,308072,
original_to_original,opposite-number,simple,8,3,392,0.11016922216026151,-2.0679162473094706e-08,0.11016924283942398,0.10224436390764859,0.11787429321177151,0.0,10000,308073,
original_to_original,opposite-number,pp_attractor,8,3,296,0.703959229830149,-3.898465955579603e-07,0.7039596196767446,0.6600569477757892,0.7498421197001998,0.0,10000,308074,0.0
original_to_original,opposite-number,object_relative,8,3,304,0.5464936683052465,-2.713579880563836e-07,0.5464939396632346,0.5084920542020547,0.5852098310464307,0.0,10000,308075,0.0
original_to_original,opposite-number,subject_relative,8,3,288,0.7610123886002435,-6.953875223795573e-08,0.7610124581389957,0.7089716701871819,0.8135165517528852,0.0,10000,308076,0.0
clone_to_clone,opposite-number-shuffled,pooled_distractor,8,3,888,0.49433207565599735,0.009451086456711227,0.4848809891992861,0.46579432620390043,0.5041277196627479,0.0,10000,8072,
clone_to_clone,opposite-number-shuffled,simple,8,3,392,0.10081490448543004,-0.000369455133165632,0.10118435961859566,0.09435274734789012,0.10809537880882925,0.0,10000,8073,
clone_to_clone,opposite-number-shuffled,pp_attractor,8,3,296,0.5926855013177201,0.017346916971979914,0.5753385843457403,0.5370666028680028,0.615011412227476,0.0,10000,8074,0.0
clone_to_clone,opposite-number-shuffled,object_relative,8,3,304,0.3933200679327312,-0.007342379344137092,0.40066244727686834,0.3774646981374214,0.42441185555960004,0.0,10000,8075,0.0
clone_to_clone,opposite-number-shuffled,subject_relative,8,3,288,0.4998703963226742,0.01906236343913608,0.48080803288353813,0.44866604006124866,0.5141086164034074,0.0,10000,8076,0.0
clone_to_original,opposite-number-shuffled,pooled_distractor,8,3,888,0.4576997343484346,0.22354460353249903,0.23415513081593556,0.22323804864206828,0.24537569559640712,0.0,10000,108072,
clone_to_original,opposite-number-shuffled,simple,8,3,392,0.08781334453699541,0.06062251572706261,0.027190828809932788,0.022670447674332832,0.031675864756107334,0.0,10000,108073,
clone_to_original,opposite-number-shuffled,pp_attractor,8,3,296,0.454075537823342,0.2183568252099527,0.2357187126133893,0.21526677962895985,0.25749084917274684,0.0,10000,108074,0.0
clone_to_original,opposite-number-shuffled,object_relative,8,3,304,0.4065998839704614,0.18588590308239586,0.22071398088806554,0.20435979554527683,0.2375345032858221,0.0,10000,108075,0.0
clone_to_original,opposite-number-shuffled,subject_relative,8,3,288,0.5153633339537514,0.2686273372835583,0.24673599667019314,0.22772147415412797,0.26655557114217016,0.0,10000,108076,0.0
original_to_clone,opposite-number-shuffled,pooled_distractor,8,3,888,0.2810438431061066,0.2411271446460002,0.03991669846010638,0.031053239160829835,0.04855031299966949,0.0,10000,208072,
original_to_clone,opposite-number-shuffled,simple,8,3,392,0.06869955452121033,0.04574426339597118,0.02295529112523916,0.017288753086206865,0.02868955548928707,0.0,10000,208073,
original_to_clone,opposite-number-shuffled,pp_attractor,8,3,296,0.34620967426815547,0.25449982204952754,0.09170985221862793,0.07407453909919069,0.10970241560323818,0.0,10000,208074,0.0
original_to_clone,opposite-number-shuffled,object_relative,8,3,304,0.22272692542327077,0.22404860195360685,-0.0013216765303360788,-0.013369655177781457,0.010856016450806666,0.84,10000,208075,0.84
original_to_clone,opposite-number-shuffled,subject_relative,8,3,288,0.2756245964103275,0.24541035460101235,0.030214241809315152,0.015598124472631349,0.045222464038266075,0.0,10000,208076,0.0
original_to_original,opposite-number-shuffled,pooled_distractor,8,3,888,0.6685558278281409,0.005147289048444043,0.6634085387796969,0.6385491032992398,0.6880118418115754,0.0,10000,308072,
original_to_original,opposite-number-shuffled,simple,8,3,392,0.11016922216026151,-0.00031791657817607024,0.11048713873843757,0.10154450785140602,0.11934398053860178,0.0,10000,308073,
original_to_original,opposite-number-shuffled,pp_attractor,8,3,296,0.703959229830149,-0.010297090620607944,0.714256320450757,0.6686364957206958,0.7609728334723291,0.0,10000,308074,0.0
original_to_original,opposite-number-shuffled,object_relative,8,3,304,0.5464936683052465,0.006294451261821546,0.5401992170434249,0.5064742035771671,0.5746318250110275,0.0,10000,308075,0.0
original_to_original,opposite-number-shuffled,subject_relative,8,3,288,0.7610123886002435,0.019809785816404555,0.7412026027838389,0.693123933672905,0.7915915742930438,0.0,10000,308076,0.0
