checkpoint,step,direction,control,task,num_examples,num_prompt_clusters,mean,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high
step_005000,5000,original_to_original,opposite-number,pooled_distractor,888,874,0.0019112256196168092,0.0014574929669096664,0.0023764427583496846,0.0014535852893647699,0.0023645129969705773
step_005000,5000,original_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.0011116357537003252,-0.00029641475763406844,0.0024840934453783806,-0.0003012427520221954,0.0024757369314949845
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,888,874,0.02041721156051567,0.01897508963808283,0.02188780682312476,0.01897194530162711,0.02192228379677182
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.020138053475199518,0.0168227926366501,0.02337891907171086,0.016827281704872254,0.023382120231504377
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,888,874,-0.000719011098414928,-0.0011287576107828466,-0.00031310079602507883,-0.0011269085285276676,-0.00028705649951467154
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,874,-0.0021117259790231517,-0.0035198655617129696,-0.0007364938723611425,-0.0035316198493974787,-0.0007006951694925553
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,888,874,0.003369117105329359,0.002757826836796494,0.003989020406125901,0.002758441890210813,0.004005093273240334
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.00403650816496428,0.0025332462545987725,0.005546811988224852,0.002548679020264567,0.0055316803227218525
step_015000,15000,original_to_original,opposite-number,pooled_distractor,888,874,0.005025463061289744,0.004184479219419462,0.005870518920657871,0.004168859367376597,0.005897333082319018
step_015000,15000,original_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.004496735495489997,0.0017454269501540039,0.007184419666861627,0.0017596239166620586,0.0073532768705972095
step_015000,15000,clone_to_clone,opposite-number,pooled_distractor,888,874,0.3502789402867223,0.3377875804364144,0.3628155897732253,0.33762731019901615,0.3636328583414095
step_015000,15000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.3495509425799052,0.3354667084308358,0.36381142452224957,0.33522484413483156,0.3638612695121962
step_015000,15000,original_to_clone,opposite-number,pooled_distractor,888,874,-0.002317113382322294,-0.0031893918240392533,-0.0014622987524883168,-0.0031966542178942584,-0.0014619029074839271
step_015000,15000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,874,-0.0013562478460707105,-0.004154448506531415,0.0014044147488233205,-0.0041065841348331324,0.0013932452172831565
step_015000,15000,clone_to_original,opposite-number,pooled_distractor,888,874,0.044432360309738295,0.039543403336056715,0.0495595317971599,0.03950397813922741,0.04940433009924055
step_015000,15000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.04640172945486533,0.04089829721697816,0.051833473844034174,0.040826372289328235,0.05193356520965972
step_030000,30000,original_to_original,opposite-number,pooled_distractor,888,874,0.1516486374107567,0.14576739876925407,0.1576705818240707,0.14586443699659746,0.15763766043797808
step_030000,30000,original_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.15055989413648038,0.14162520335332768,0.15961949727288238,0.14164607686038652,0.15960845365047016
step_030000,30000,clone_to_clone,opposite-number,pooled_distractor,888,874,0.45546566956752055,0.4348818851081101,0.4763763215359267,0.4345009053051191,0.4764543590399004
step_030000,30000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.4433143117406347,0.42465638194803723,0.4620774311793817,0.424660442239862,0.4624009255533605
step_030000,30000,original_to_clone,opposite-number,pooled_distractor,888,874,0.02914267617302972,0.026831172594616006,0.03147199431786666,0.026809434963688195,0.03147111548505073
step_030000,30000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.029400357254990586,0.02551247043921067,0.03341544941738919,0.025389497326651248,0.033429539149906075
step_030000,30000,clone_to_original,opposite-number,pooled_distractor,888,874,0.15647469984518514,0.14922051628430683,0.16379323595010484,0.1491132029883681,0.16377510734615675
step_030000,30000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.15659298875310398,0.14819727976311434,0.16496544909906818,0.14824128730116495,0.1651595957866202
step_050000,50000,original_to_original,opposite-number,pooled_distractor,888,874,0.5474656541068275,0.5269416550526748,0.5681940423072995,0.5269284059185875,0.5692440990004657
step_050000,50000,original_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.5464223070187612,0.5260487731915336,0.5675074414492727,0.5258707522654867,0.5674219909514259
step_050000,50000,clone_to_clone,opposite-number,pooled_distractor,888,874,0.427088129627812,0.40969340044098934,0.4450720682605967,0.40978597108809195,0.4451648183974018
step_050000,50000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.41206118974599754,0.39694980945404584,0.4278418246421728,0.3966385230447562,0.4276653106942334
step_050000,50000,original_to_clone,opposite-number,pooled_distractor,888,874,0.07484734380567395,0.06796886092639183,0.08169279418013116,0.06803587203965233,0.08179227933012248
step_050000,50000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.07763885431461506,0.06931862802924338,0.08578341306598336,0.06922551615788805,0.0863493955371646
step_050000,50000,clone_to_original,opposite-number,pooled_distractor,888,874,0.1728001424858162,0.16369560904599526,0.18201220810144872,0.16369517005546985,0.18228828249712561
step_050000,50000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.17383532158963316,0.1638234655733581,0.18407276628522187,0.1639135736068763,0.18418788266837924
step_065000,65000,original_to_original,opposite-number,pooled_distractor,888,874,0.7029551863670349,0.6747970948482418,0.7317983153838294,0.6746593270792027,0.7321989268849735
step_065000,65000,original_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.6940449159424584,0.668114795623062,0.7207813780855489,0.667696214304484,0.7207452603523697
step_065000,65000,clone_to_clone,opposite-number,pooled_distractor,888,874,0.4566084962707382,0.4387461427498508,0.47532233081690906,0.4383475378905119,0.4750284223276323
step_065000,65000,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.4470614925161138,0.43043697401209996,0.46437844172254333,0.43046543979011226,0.4643402202305283
step_065000,65000,original_to_clone,opposite-number,pooled_distractor,888,874,0.06045784123309024,0.05314226171991846,0.06780977320295196,0.05297332928337641,0.06794213370418054
step_065000,65000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.06027911804817818,0.051443795873238156,0.06892602532296567,0.05128308368844136,0.06943605841608723
step_065000,65000,clone_to_original,opposite-number,pooled_distractor,888,874,0.22149903870917656,0.21148573707889864,0.23159355761500092,0.2113856580116492,0.23200554244471727
step_065000,65000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.2185843645989358,0.20794111154637898,0.22977275582584172,0.20770631147529003,0.22958125359388326
best,77500,original_to_original,opposite-number,pooled_distractor,888,874,0.6685560732274443,0.6428855474199261,0.6948580522929225,0.6427530137253833,0.6954385291293859
best,77500,original_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.6634085387796969,0.6387013182715253,0.6885713506926286,0.6383894668341539,0.6887431400346464
best,77500,clone_to_clone,opposite-number,pooled_distractor,888,874,0.49433190972955376,0.4747212809753848,0.5146714051296044,0.4741922571091886,0.5150345714532613
best,77500,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.4848809891992861,0.4665143970030923,0.5038834486190263,0.46649590018840964,0.5037163604405666
best,77500,original_to_clone,opposite-number,pooled_distractor,888,874,0.03791889789942149,0.031176339935612033,0.04472857913723936,0.031100086137033515,0.044786328030364156
best,77500,original_to_clone,opposite-number-shuffled,pooled_distractor,888,874,0.03991669846010638,0.03137509135512618,0.04844498573928265,0.031148951662264564,0.04889945769780971
best,77500,clone_to_original,opposite-number,pooled_distractor,888,874,0.2358766026325054,0.22571140302194131,0.24602100321569959,0.22543624514641883,0.24640344051977892
best,77500,clone_to_original,opposite-number-shuffled,pooled_distractor,888,874,0.23415513081593556,0.22334042829167736,0.24541177561691216,0.22340693659166766,0.24516565836319537
step_005000,5000,original_to_original,opposite-number,simple,392,89,0.0014981372015816824,0.0005848563751395867,0.002430636603005078,0.0005303902119561868,0.002532234814555361
step_005000,5000,original_to_original,opposite-number-shuffled,simple,392,89,0.0007726039205278669,-0.0005286484348530671,0.0021086631076676497,-0.0006971848193467392,0.0023049628680822986
step_005000,5000,clone_to_clone,opposite-number,simple,392,89,0.01477022073706802,0.011895257386626031,0.017776299556907342,0.008803909392797345,0.021954775904079862
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,392,89,0.012190688629539646,0.009755127253581066,0.014694871981533204,0.008646074714354978,0.016191034384557195
step_005000,5000,original_to_clone,opposite-number,simple,392,89,-0.003605531186473613,-0.004580384979442674,-0.002623903021520498,-0.0054370053643398855,-0.0018825387498001005
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,392,89,-0.0032234325700876663,-0.0048934410421215754,-0.0015278606086361168,-0.005101190616159351,-0.0013819922914218817
step_005000,5000,clone_to_original,opposite-number,simple,392,89,0.0021620125186686615,0.0007682757110011822,0.003557381824571259,0.0003457021630409462,0.004225163813575092
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,392,89,0.0015918405688538843,0.0003534260453010092,0.002831717170014672,0.0004055772213791766,0.0028116795952005894
step_015000,15000,original_to_original,opposite-number,simple,392,89,-0.00399720303866328,-0.00660198087594947,-0.0014238868440900531,-0.0085696220672625,0.0004078507541126986
step_015000,15000,original_to_original,opposite-number-shuffled,simple,392,89,-0.004564490853523721,-0.007948386395464139,-0.001214606056408007,-0.008796767071974562,-0.00035662215253577797
step_015000,15000,clone_to_clone,opposite-number,simple,392,89,0.2453682945699108,0.23002782245071568,0.2615058075104441,0.21065745975254271,0.2824822237719261
step_015000,15000,clone_to_clone,opposite-number-shuffled,simple,392,89,0.24510117939540318,0.2311551211135728,0.2594252330612163,0.22295504295966737,0.2672146376165287
