checkpoint,step,direction,layer,head,mean
step_005000,5000,original_to_clone,11,7,0.001418789227803548
step_005000,5000,clone_to_original,0,0,0.004173664896337835
step_005000,5000,clone_to_original,0,1,0.0031940314146849487
step_005000,5000,clone_to_original,0,2,0.007864820527600812
step_005000,5000,clone_to_original,0,3,0.00423471347705738
step_005000,5000,clone_to_original,0,4,-0.004488411787393931
step_005000,5000,clone_to_original,0,5,-0.0008586886766794565
step_005000,5000,clone_to_original,0,6,-0.001992597236289634
step_005000,5000,clone_to_original,0,7,-0.0024303885193558425
step_005000,5000,clone_to_original,1,0,0.0016593320949657544
step_005000,5000,clone_to_original,1,1,0.0013239442765175758
step_005000,5000,clone_to_original,1,2,0.0005120022876842602
step_005000,5000,clone_to_original,1,3,0.0010079913311176472
step_005000,5000,clone_to_original,1,4,0.002605290563256891
step_005000,5000,clone_to_original,1,5,0.001002626913087862
step_005000,5000,clone_to_original,1,6,0.0035349544104155118
step_005000,5000,clone_to_original,1,7,0.0018225800883662593
step_005000,5000,clone_to_original,2,0,-0.0013059742815859682
step_005000,5000,clone_to_original,2,1,-0.0004412580180812526
step_005000,5000,clone_to_original,2,2,-0.0015152988133129773
step_005000,5000,clone_to_original,2,3,-0.0004718926575806764
step_005000,5000,clone_to_original,2,4,-0.00034515492550961607
step_005000,5000,clone_to_original,2,5,0.00013971543526864266
step_005000,5000,clone_to_original,2,6,0.00076172534409944
step_005000,5000,clone_to_original,2,7,0.001830302380226754
step_005000,5000,clone_to_original,3,0,0.0015988022357493908
step_005000,5000,clone_to_original,3,1,0.0004073719720582704
step_005000,5000,clone_to_original,3,2,-0.0003510165858913112
step_005000,5000,clone_to_original,3,3,-0.0007712051675126359
step_005000,5000,clone_to_original,3,4,0.001611719797323416
step_005000,5000,clone_to_original,3,5,0.001512508671562951
step_005000,5000,clone_to_original,3,6,0.00409918110649865
step_005000,5000,clone_to_original,3,7,-0.0009820042429743586
step_005000,5000,clone_to_original,4,0,0.0002728888580390999
step_005000,5000,clone_to_original,4,1,-0.0005566424077695554
step_005000,5000,clone_to_original,4,2,0.003397891650328765
step_005000,5000,clone_to_original,4,3,0.0026688076354361868
step_005000,5000,clone_to_original,4,4,1.2532010808721319e-05
step_005000,5000,clone_to_original,4,5,-0.0003416532868737573
step_005000,5000,clone_to_original,4,6,-0.00065406270929285
step_005000,5000,clone_to_original,4,7,0.0029322574804495046
step_005000,5000,clone_to_original,5,0,0.0016190103582433752
step_005000,5000,clone_to_original,5,1,-0.0019238473058820844
step_005000,5000,clone_to_original,5,2,-0.0033196710251473093
step_005000,5000,clone_to_original,5,3,-0.0050302937224104595
step_005000,5000,clone_to_original,5,4,0.00012152205716382275
step_005000,5000,clone_to_original,5,5,-0.0019774453060047046
step_005000,5000,clone_to_original,5,6,-0.00021169905189995293
step_005000,5000,clone_to_original,5,7,-0.001200263027672295
step_005000,5000,clone_to_original,6,0,0.00020978096369150522
step_005000,5000,clone_to_original,6,1,0.0017111269203392235
step_005000,5000,clone_to_original,6,2,0.002551492807027456
step_005000,5000,clone_to_original,6,3,-0.00069134944194072
step_005000,5000,clone_to_original,6,4,0.0013338268340170921
step_005000,5000,clone_to_original,6,5,0.0046967353906717385
step_005000,5000,clone_to_original,6,6,0.000361157430184854
step_005000,5000,clone_to_original,6,7,0.0025013432846413
step_005000,5000,clone_to_original,7,0,-0.00017385869412808806
step_005000,5000,clone_to_original,7,1,-0.0008758387050113162
step_005000,5000,clone_to_original,7,2,-0.0015515427331666688
step_005000,5000,clone_to_original,7,3,-0.002409736852388124
step_005000,5000,clone_to_original,7,4,0.002194369698429967
step_005000,5000,clone_to_original,7,5,0.003964403728107075
step_005000,5000,clone_to_original,7,6,-0.0020880632035367125
step_005000,5000,clone_to_original,7,7,0.0008379462602976206
step_005000,5000,clone_to_original,8,0,0.0004738349098343033
step_005000,5000,clone_to_original,8,1,0.002122962797010267
step_005000,5000,clone_to_original,8,2,0.0017370613845618995
step_005000,5000,clone_to_original,8,3,0.00403650816496428
step_005000,5000,clone_to_original,8,4,0.000853867144198031
step_005000,5000,clone_to_original,8,5,-0.00696757731136975
step_005000,5000,clone_to_original,8,6,-0.007138321528563628
step_005000,5000,clone_to_original,8,7,0.0015857525773950525
step_005000,5000,clone_to_original,9,0,0.0015218214945750194
step_005000,5000,clone_to_original,9,1,0.002207296388643282
step_005000,5000,clone_to_original,9,2,-0.004766058277439427
step_005000,5000,clone_to_original,9,3,-0.004017491598387022
step_005000,5000,clone_to_original,9,4,0.003041217992971609
