checkpoint,step,direction,control,task,num_examples,mean_delta_ld
step_065000,65000,original_to_clone,opposite-number-shuffled,pooled_distractor,888,0.21533552483395413
step_065000,65000,clone_to_original,clean,pooled_distractor,888,0.4718777929340397
step_065000,65000,clone_to_original,opposite-number,pooled_distractor,888,0.25037875422486316
step_065000,65000,clone_to_original,same-number-shuffled,pooled_distractor,888,0.4711811112927961
step_065000,65000,clone_to_original,opposite-number-shuffled,pooled_distractor,888,0.2532934283351039
best,77500,original_to_original,clean,pooled_distractor,888,0.6685558278281409
best,77500,original_to_original,opposite-number,pooled_distractor,888,-2.453993032644461e-07
best,77500,original_to_original,same-number-shuffled,pooled_distractor,888,0.6498322213018263
best,77500,original_to_original,opposite-number-shuffled,pooled_distractor,888,0.005147289048444043
best,77500,clone_to_clone,clean,pooled_distractor,888,0.49433207565599735
best,77500,clone_to_clone,opposite-number,pooled_distractor,888,1.6592644356392525e-07
best,77500,clone_to_clone,same-number-shuffled,pooled_distractor,888,0.48395566575162047
best,77500,clone_to_clone,opposite-number-shuffled,pooled_distractor,888,0.009451086456711227
best,77500,original_to_clone,clean,pooled_distractor,888,0.2810438431061066
best,77500,original_to_clone,opposite-number,pooled_distractor,888,0.24312494520668512
best,77500,original_to_clone,same-number-shuffled,pooled_distractor,888,0.2792472135913265
best,77500,original_to_clone,opposite-number-shuffled,pooled_distractor,888,0.2411271446460002
best,77500,clone_to_original,clean,pooled_distractor,888,0.4576997343484346
best,77500,clone_to_original,opposite-number,pooled_distractor,888,0.22182313171592918
best,77500,clone_to_original,same-number-shuffled,pooled_distractor,888,0.45493610861065154
best,77500,clone_to_original,opposite-number-shuffled,pooled_distractor,888,0.22354460353249903
step_005000,5000,original_to_original,clean,simple,392,0.0014982272167595066
step_005000,5000,original_to_original,opposite-number,simple,392,9.00151778240593e-08
step_005000,5000,original_to_original,same-number-shuffled,simple,392,0.0026326726893989407
step_005000,5000,original_to_original,opposite-number-shuffled,simple,392,0.0007256232962316396
step_005000,5000,clone_to_clone,clean,simple,392,0.0147700699008241
step_005000,5000,clone_to_clone,opposite-number,simple,392,-1.508362439213967e-07
step_005000,5000,clone_to_clone,same-number-shuffled,simple,392,0.0145879400019743
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,392,0.0025793812712844536
step_005000,5000,original_to_clone,clean,simple,392,-0.017261160879719014
step_005000,5000,original_to_clone,opposite-number,simple,392,-0.013655629693245401
step_005000,5000,original_to_clone,same-number-shuffled,simple,392,-0.017652264663151333
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,392,-0.014037728309631348
step_005000,5000,clone_to_original,clean,simple,392,0.006032537440864408
step_005000,5000,clone_to_original,opposite-number,simple,392,0.003870524922195746
step_005000,5000,clone_to_original,same-number-shuffled,simple,392,0.005699452088803661
