checkpoint,step,direction,control,reference_step,task,num_examples,num_prompt_clusters,mean,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high
step_015000,15000,original_to_original,opposite-number,5000,pooled_distractor,888,874,0.003114237441672935,0.0021193596425357164,0.004104436195648468,0.002105183987420613,0.004136553707837635
step_015000,15000,original_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.0033850997417896717,0.00041797182581446184,0.006401036277010633,0.0003865878572021838,0.0064958486483047
step_015000,15000,clone_to_clone,opposite-number,5000,pooled_distractor,888,874,0.3298617287262066,0.31728425922023284,0.34246054602501624,0.3171525451154373,0.34324373754903365
step_015000,15000,clone_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.3294128891047057,0.315320914487044,0.3434949530406041,0.31522129981532737,0.34377798006884575
step_015000,15000,original_to_clone,opposite-number,5000,pooled_distractor,888,874,-0.0015981022839073663,-0.002532048456303708,-0.0006835456971112674,-0.002535263175620229,-0.0006973113658279546
step_015000,15000,original_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.000755478132952441,-0.002160223130438779,0.0036088880252193754,-0.002163970471572797,0.0036317124326444004
step_015000,15000,clone_to_original,opposite-number,5000,pooled_distractor,888,874,0.04106324320440894,0.03622324803659508,0.04610243824956653,0.03615775960398391,0.045945887444391216
step_015000,15000,clone_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.04236522128990105,0.03666035715524141,0.04798407095509606,0.036714205841498204,0.04810966075319344
step_030000,30000,original_to_original,opposite-number,5000,pooled_distractor,888,874,0.1497374117911399,0.1437857933946558,0.15583960362919816,0.14389803271062984,0.15575728919547438
step_030000,30000,original_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.14944825838278006,0.14037871313793165,0.15864267977508337,0.1404692582121468,0.15864388068348206
step_030000,30000,clone_to_clone,opposite-number,5000,pooled_distractor,888,874,0.43504845800700487,0.41465353411328687,0.4558295606559998,0.4143277251364457,0.45608685507337304
step_030000,30000,clone_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.42317625826543515,0.40475229320225414,0.4416576910998907,0.40475160400612015,0.4418160868249597
