checkpoint,step,direction,control,task,site,selection,num_examples,mean
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,L8H3,pre_registered,888,0.02041721156051567
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,L10H2,dev_ranked,888,0.00545065172083743
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,L9H0,dev_ranked,888,-0.009246949676994805
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,L11H7,dev_ranked,888,-0.0004976281711647103
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,L8H0,dev_ranked,888,-0.0010604334844125283
step_005000,5000,clone_to_clone,opposite-number,pooled_distractor,L11H0,dev_ranked,888,0.00016902588509224556
step_005000,5000,clone_to_clone,opposite-number,simple,L8H3,pre_registered,392,0.01477022073706802
step_005000,5000,clone_to_clone,opposite-number,simple,L10H2,dev_ranked,392,0.007635645720423485
step_005000,5000,clone_to_clone,opposite-number,simple,L9H0,dev_ranked,392,-0.0019530434997714295
step_005000,5000,clone_to_clone,opposite-number,simple,L11H7,dev_ranked,392,-0.0006222128868103027
step_005000,5000,clone_to_clone,opposite-number,simple,L8H0,dev_ranked,392,0.004262475334868139
step_005000,5000,clone_to_clone,opposite-number,simple,L11H0,dev_ranked,392,-0.002866894614939787
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,L8H3,pre_registered,296,0.01741034275776631
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,L10H2,dev_ranked,296,0.006605438283971838
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,L9H0,dev_ranked,296,-0.008687976244333628
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,L11H7,dev_ranked,296,-0.0006899543710657068
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,L8H0,dev_ranked,296,-0.0014131939088976061
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,L11H0,dev_ranked,296,-0.000697567656233504
step_005000,5000,clone_to_clone,opposite-number,object_relative,L8H3,pre_registered,304,0.01671384588668221
step_005000,5000,clone_to_clone,opposite-number,object_relative,L10H2,dev_ranked,304,0.005316891952564842
step_005000,5000,clone_to_clone,opposite-number,object_relative,L9H0,dev_ranked,304,-0.010768256689372816
step_005000,5000,clone_to_clone,opposite-number,object_relative,L11H7,dev_ranked,304,-0.00012966441480736983
step_005000,5000,clone_to_clone,opposite-number,object_relative,L8H0,dev_ranked,304,-0.0018610507249832153
step_005000,5000,clone_to_clone,opposite-number,object_relative,L11H0,dev_ranked,304,0.0005582696513125771
step_005000,5000,clone_to_clone,opposite-number,subject_relative,L8H3,pre_registered,288,0.027416712707943387
step_005000,5000,clone_to_clone,opposite-number,subject_relative,L10H2,dev_ranked,288,0.0044049786196814645
step_005000,5000,clone_to_clone,opposite-number,subject_relative,L9H0,dev_ranked,288,-0.008215626080830893
step_005000,5000,clone_to_clone,opposite-number,subject_relative,L11H7,dev_ranked,288,-0.0006883657640881009
step_005000,5000,clone_to_clone,opposite-number,subject_relative,L8H0,dev_ranked,288,0.00014722181691063775
step_005000,5000,clone_to_clone,opposite-number,subject_relative,L11H0,dev_ranked,288,0.0006488230493333605
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,L8H3,pre_registered,888,0.020138053475199518
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,L10H2,dev_ranked,888,0.005719681580861409
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,L9H0,dev_ranked,888,-0.010299683154166283
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,L11H7,dev_ranked,888,-0.00040984663877401264
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,L8H0,dev_ranked,888,-0.0002855368562646814
step_005000,5000,clone_to_clone,opposite-number-shuffled,pooled_distractor,L11H0,dev_ranked,888,-8.771091968089611e-05
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,L8H3,pre_registered,392,0.012190688629539646
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,L10H2,dev_ranked,392,0.008305313635845574
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,L9H0,dev_ranked,392,-0.0030769863907171755
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,L11H7,dev_ranked,392,-0.0003967759560565559
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,L8H0,dev_ranked,392,0.004917287096685293
step_005000,5000,clone_to_clone,opposite-number-shuffled,simple,L11H0,dev_ranked,392,-0.0022063875684932787
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,L8H3,pre_registered,296,0.019162020167788944
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,L10H2,dev_ranked,296,0.0073581418475589236
